Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Morphine addiction Homo sapiens hsa05032,-0.12890447837332272,-0.4019305377957768,0.9632352941176471,1.0,91,90,GNB4;GRK5;GABRR3;GNAI2;PDE10A;PDE3B;ADCY9;GNGT2;PDE4B;ADCY2;GNG2;PDE3A;PDE8B;GABRB3;GNG4;GNAI1;PDE4A;GABBR1;PDE1B;PDE2A;GABRD;GNB2;GABRR1;GABRA3;GNG11;PRKCB;PDE4C;GNB1;GABRQ;GABRA5;GNAI3;ARRB2;GNG5;GNG10;GABRE;PRKCG;GRK6;ADRBK2;ADCY8;GNB5;GNAO1;GNG7;ADRBK1;DRD1;GABRG2;KCNJ5;GABBR2;GNG3;PDE1A;PDE4D;GABRA4;PDE8A;GNAS;PRKACG;KCNJ9;GABRA2;PRKCA;KCNJ6;CACNA1B;GNG12;PRKACB;GABRG3;ARRB1;ADCY5;GABRA1;KCNJ3;PRKACA;ADCY1;GABRB1;OPRM1;ADCY4;GABRB2;PDE11A;ADCY7;GNB3;SLC32A1;CACNA1A;GABRR2;GABRA6;PDE1C;GNG8;GABRP;GABRG1;GRK4;ADCY3;GNG13;PDE7B;ADORA1;PDE7A;ADCY6,GABBR2;GNG3;PDE1A;PDE4D;GABRA4;PDE8A;GNAS;PRKACG;KCNJ9;GABRA2;PRKCA;KCNJ6;CACNA1B;GNG12;PRKACB;GABRG3;ARRB1;ADCY5;GABRA1;KCNJ3;PRKACA;ADCY1;GABRB1;OPRM1;ADCY4;GABRB2;PDE11A;ADCY7;GNB3;SLC32A1;CACNA1A;GABRR2;GABRA6;PDE1C;GNG8;GABRP;GABRG1;GRK4;ADCY3;GNG13;PDE7B;ADORA1;PDE7A;ADCY6
Tuberculosis Homo sapiens hsa05152,0.13426224561118136,0.478794560725888,0.9655172413793104,1.0,178,171,RHOA;RAB5A;CALML5;SPHK1;STAT1;JAK1;FCGR3A;FCGR1A;RAB7A;RIPK2;HLA-DRB5;C3;FCER1G;HLA-DMB;IL18;HLA-DQB1;HLA-DPA1;LAMP1;CORO1A;HLA-DMA;PPP3CC;HSPD1;HLA-DOB;MAPK3;TLR2;HLA-DOA;RAB5C;HLA-DRA;CIITA;HLA-DQA2;ATP6V0A4;MAPK1;IL10RA;CD14;IL10;CD74;HLA-DRB1;PPP3R2;FCGR3B;IFNG;ATP6AP1;TLR4;FADD;IFNGR2;CLEC4E;TNFRSF1A;HLA-DPB1;ITGB2;CASP10;SYK;CTSD;ATP6V0B;CTSS;NOS2;IFNGR1;CARD9;CEBPG;TGFB1;TLR1;FCGR2A;BID;MYD88;IL6;TLR6;CD209;HSPA9;RAF1;RELA;BCL10;ATP6V0D1;CLEC7A;BAD;CYCS;HLA-DQA1;MAPK14;FCGR2C;MRC1;ARHGEF12;TCIRG1;IFNA8;AKT3;AKT1;JAK2;NFYC;CREB1;ATP6V0A2;EP300;ATP6V1H;PPP3R1;MRC2;TRAF6;CALM3;CAMK2A;TRADD;PPP3CB;MAPK9;IFNA17;PLK3;CASP8;ATP6V0A1;IFNA1;IL23A;PPP3CA;RAB5B;CAMK2B;ITGAM;IFNA6;CASP9;EEA1;LAMP2;CAMK2D;ATP6V0D2;RFXAP;NFYA;CEBPB;MAPK8;RFX5;VDR;IRAK1;BCL2;IL10RB;CALML3;MAPK13;MAPK10;BAX;CR1;CASP3;ATP6V0C;IL1A;IFNA14;IFNA21;CALM1;PLA2R1;TGFB2;CREBBP;NOD2;IFNB1;FCGR2B;LSP1;RFXANK;NFKB1;ITGAX;MAPK11;IFNA13;CALM2;IRAK2;IFNA5;IRAK4;PIK3C3;LBP;CAMP;CYP27B1;IL12B;MALT1;TNF;TLR9;TIRAP;NFYB;TGFB3;CLEC4M;CALML6;SRC;APAF1;AKT2;MAPK12;IL1B;KSR1;CAMK2G;SPHK2;IL12A;IFNA2,RHOA;RAB5A;CALML5;SPHK1;STAT1;JAK1;FCGR3A;FCGR1A;RAB7A;RIPK2;HLA-DRB5;C3;FCER1G;HLA-DMB;IL18;HLA-DQB1;HLA-DPA1;LAMP1;CORO1A;HLA-DMA;PPP3CC;HSPD1;HLA-DOB;MAPK3;TLR2;HLA-DOA;RAB5C;HLA-DRA;CIITA;HLA-DQA2;ATP6V0A4;MAPK1;IL10RA;CD14;IL10;CD74;HLA-DRB1;PPP3R2;FCGR3B;IFNG;ATP6AP1;TLR4;FADD;IFNGR2;CLEC4E;TNFRSF1A;HLA-DPB1
Endocytosis Homo sapiens hsa04144,0.14787741449818784,0.665223178791444,0.9689922480620154,1.0,259,257,EHD1;RHOA;RAB5A;ARPC2;SPG21;SNX1;CAPZA3;HLA-E;RAB10;IGF2R;SMAD3;RAB7A;GRK5;EHD4;RAB11A;ARPC4;CHMP5;STAM;TGFBR2;CLTA;VPS26A;VTA1;HLA-B;ARPC3;GIT1;MDM2;HLA-C;NEDD4;CYTH4;PARD3;ARPC5;VPS28;FOLR2;AP2B1;TGFBR1;DAB2;HLA-G;RNF41;SH3KBP1;FOLR3;KDR;CHMP4C;VPS37C;EPN2;EHD3;AP2M1;RAB5C;PML;KIAA0196;SNX3;HLA-A;HLA-F;SMAP2;CLTC;IGF1R;VPS25;WAS;SNX6;HSPA1A;CSF1R;VPS26B;CBL;CLTCL1;CAPZB;CHMP1B;CHMP3;ARPC1B;HSPA8;KIAA1033;HSPA1B;TSG101;NTRK1;KIF5B;PDGFRA;ERBB4;FLT1;ARF3;SMAP1;FAM21A;ARF1;ARFGAP2;TGFB1;ADRB3;PARD6A;SNX2;ASAP1;USP8;STAMBP;SNX5;SMAD2;CAPZA2;SPG20;F2R;SNX4;WIPF1;ADRB1;SH3GL1;RNF103-CHMP3;CAV2;IL2RB;RAB4A;WIPF3;CDC42;IL2RA;KIT;EGFR;VPS37D;GRK1;CLTB;IQSEC2;VPS4A;AGAP3;WASL;ARRB2;ARFGEF1;TFRC;RAB11FIP2;SH3GL2;RAB11FIP1;CXCR4;CCR5;VPS37A;PRKCZ;GRK6;IQSEC3;ADRBK2;SNF8;GBF1;WWP1;PSD;ERBB3;AGAP1;AMPH;ARF5;AGAP2;EHD2;ASAP3;TRAF6;SNX12;BIN1;ACAP2;ARF6;SH3GLB1;ADRBK1;HSPA6;CAPZA1;RET;EGF;ZFYVE27;HSPA1L;RAB8A;VPS35;CAV1;EPN1;STAM2;ADRB2;RAB5B;ARPC1A;HRAS;AP2A2;PARD6G;ARFGAP3;RAB31;IL2RG;VPS4B;PSD4;ARFGEF2;EEA1;IST1;CXCR1;MET;FAM21C;VPS29;DNM1;CHMP6;CBLC;CHMP4A;CHMP4B;PLD1;RABEP1;NEDD4L;ARRB1;GRK7;CBLB;CXCR2;CHMP2A;RAB11FIP5;PIP5K1C;AP2S1;IQSEC1;DNAJC6;RAB35;PIP5K1B;MVB12A;PSD3;WASH1;AP2A1;CCDC53;ARAP1;TGFB2;EPS15;ARPC5L;PLD2;VPS37B;ZFYVE9;VPS45;CHMP2B;VPS36;SMURF2;FOLR1;RUFY1;DNM3;KIF5C;HGS;RAB22A;CYTH3;KIF5A;RAB11FIP4;CHMP7;PRKCI;FGFR3;GIT2;SH3GL3;LDLR;FGFR2;SNX32;GRK4;DNM2;PIP5K1A;TGFB3;PDCD6IP;LDLRAP1;CAV3;ASAP2;CYTH1;ITCH;ARAP3;SRC;ACAP3;SMURF1;PARD6B;ACAP1;PIP5KL1;MVB12B;WIPF2;EPN3;EPS15L1;ARAP2;HSPA2;RAB11B;PSD2;CYTH2;ARFGAP1;SH3GLB2;FGFR4;RAB11FIP3;ZFYVE16,EHD1;RHOA;RAB5A;ARPC2;SPG21;SNX1;CAPZA3;HLA-E;RAB10;IGF2R;SMAD3;RAB7A;GRK5;EHD4;RAB11A;ARPC4;CHMP5;STAM;TGFBR2;CLTA;VPS26A;VTA1;HLA-B;ARPC3;GIT1;MDM2;HLA-C;NEDD4;CYTH4;PARD3;ARPC5;VPS28;FOLR2;AP2B1;TGFBR1;DAB2;HLA-G;RNF41;SH3KBP1;FOLR3;KDR;CHMP4C;VPS37C;EPN2;EHD3;AP2M1;RAB5C;PML
Synaptic vesicle cycle Homo sapiens hsa04721,0.14076224674797563,0.3914891451572146,0.9703703703703703,1.0,63,63,ATP6V0E2;ATP6V0E1;ATP6V1F;SLC18A3;CLTA;SLC18A1;AP2B1;AP2M1;ATP6V0A4;CLTC;CLTCL1;ATP6V1D;UNC13B;ATP6V0B;ATP6V1E1;SLC18A2;STX3;ATP6V1B2;ATP6V0D1;CPLX2;CLTB;ATP6V1G1;CPLX4;STX1A;TCIRG1;ATP6V1C1;ATP6V0A2;CPLX3;ATP6V1G2;ATP6V1H;SLC17A7;NSF;RAB3A;UNC13A;STX2;RIMS1;VAMP2;ATP6V1A;ATP6V0A1;AP2A2;STX1B;SNAP25;STXBP1;NAPA;DNM1;ATP6V0D2;SYT1;CACNA1B;SLC17A6;AP2S1;ATP6V0C;CPLX1;AP2A1;DNM3;SLC32A1;CACNA1A;ATP6V1G3;ATP6V1B1;SLC17A8;UNC13C;DNM2;ATP6V1C2;ATP6V1E2,ATP6V0E2;ATP6V0E1;ATP6V1F;SLC18A3;CLTA;SLC18A1
Signaling pathways regulating pluripotency of stem cells Homo sapiens hsa04550,0.16058541317529174,0.6473732159457611,0.9708029197080292,1.0,142,140,WNT6;JAK1;CTNNB1;WNT3A;IL6ST;SMAD3;WNT7B;ONECUT1;ACVR1;WNT4;LIF;HAND1;FGFR1;ESX1;PCGF5;BMI1;PIK3R1;WNT2;ACVR2B;IGF1;FZD9;ESRRB;KRAS;FZD10;DUSP9;POU5F1B;MAPK3;BMPR1A;WNT11;MYC;INHBE;PIK3CA;MAPK1;JAK3;IGF1R;ID3;TBX3;BMP4;FZD2;ID4;DLX5;NANOG;HESX1;BMP2;PCGF2;GRB2;WNT16;JARID2;ACVR1B;BMPR2;WNT5A;HOXB1;SKIL;PIK3R5;LEFTY2;SMAD2;RAF1;GSK3B;LHX5;FZD4;WNT1;PCGF6;WNT5B;ID2;ZIC3;WNT10B;MAPK14;MAP2K1;PIK3CD;ISL1;PIK3R2;NRAS;FZD7;AKT3;AKT1;JAK2;ACVR2A;DVL1;PIK3CG;PIK3R3;SMAD5;WNT9B;HRAS;SMAD4;BMPR1B;MAP2K2;SOX2;SMAD1;STAT3;KAT6A;PIK3CB;DVL3;HNF1A;OTX1;MAPK13;WNT8A;FZD6;TCF3;WNT10A;SMAD9;FZD3;PCGF1;INHBC;REST;WNT9A;FZD1;ACVR1C;LIFR;ZFHX3;FGF2;SMARCAD1;FZD5;SETDB1;ID1;MAPK11;DVL2;NODAL;FGFR3;AXIN1;FZD8;FGFR2;WNT3;INHBB;RIF1;APC;MEIS1;PAX6;POU5F1;COMMD3-BMI1;WNT7A;WNT2B;INHBA;AKT2;MAPK12;WNT8B;KLF4;APC2;FGFR4;AXIN2;PCGF3,WNT6;JAK1;CTNNB1;WNT3A;IL6ST;SMAD3;WNT7B;ONECUT1;ACVR1;WNT4;LIF;HAND1;FGFR1;ESX1;PCGF5;BMI1;PIK3R1;WNT2;ACVR2B;IGF1;FZD9;ESRRB;KRAS;FZD10;DUSP9;POU5F1B;MAPK3;BMPR1A;WNT11;MYC;INHBE;PIK3CA;MAPK1;JAK3;IGF1R;ID3;TBX3;BMP4;FZD2;ID4;DLX5;NANOG;HESX1;BMP2;PCGF2
Olfactory transduction Homo sapiens hsa04740,-0.1660488318731891,-0.6338006336989399,0.9710144927536232,1.0,415,222,OR4A16;CALML5;OR1F1;OR4N2;OR1A2;OR52K1;OR4C3;OR5AU1;OR4K17;OR5B12;OR4K5;OR4L1;OR1J1;OR2M2;OR51B5;OR13A1;OR2T33;OR8A1;OR52I1;OR2L2;OR1D5;OR10A2;OR14C36;OR10A4;NCALD;OR13C2;OR4K13;OR51I1;OR1M1;OR13C9;OR1C1;OR6B2;OR7C1;OR56A1;OR6X1;OR3A2;OR2B2;OR6B3;OR2M5;OR52D1;OR2T4;OR52N4;OR2V2;OR4K2;PDE1B;OR2V1;OR5AN1;OR4K1;PDE2A;OR11A1;OR2T34;OR3A1;OR10G2;OR9K2;OR56A5;OR1G1;OR10J3;OR8D4;OR1Q1;OR14A16;OR5M3;GNAL;OR5J2;OR2J3;OR2D2;OR1L6;OR52B2;SLC8A3;GNB1;OR4K15;RGS2;OR4C12;CNGB1;OR1L1;OR6C1;OR2Y1;OR1J2;OR6K3;OR52K2;OR6M1;ARRB2;OR10V1;OR2M3;OR4D2;OR2AG1;OR10G7;SLC8A1;OR4F15;OR2T1;OR2T8;OR1N1;OR9Q1;OR9I1;ADRBK2;OR1L4;OR8G5;OR6C75;SLC8A2;OR2AT4;OR2C1;GNG7;OR6T1;CALM3;OR4A47;CAMK2A;OR5B3;OR2A42;OR6A2;OR2L13;OR52A5;ADRBK1;OR56B1;OR2L5;OR2M4;OR4F6;OR11G2;PDE1A;PRKG1;OR52N1;CAMK2B;OR2AK2;OR10Q1;OR14I1;OR11H4;OR2B6;OR1E1;OR52W1;OR5AC2;OR2W3;OR2L3;PRKACG;OR7D2;OR5A1;OR1E2;OR1L3;CAMK2D;OR2B11;OR4M2;OR52E2;OR2C3;CNGA3;PRKACB;OR52I2;CALML3;OR5K2;ARRB1;OR10W1;OR52N2;OR9Q2;OR13J1;OR2T10;GUCY2D;OR7G2;CNGA2;OR2A25;PRKACA;OR52B6;OR1J4;CALM1;OR2F1;ANO2;OR13C5;OR51F2;OR6V1;OR2AG2;OR8B12;OR2AE1;OR51Q1;OR5B21;OR10P1;OR7A5;OR6S1;OR10AD1;PDE1C;SLC24A4;OR3A3;OR5B2;CALM2;OR2A2;OR10K2;OR2S2;OR10H5;OR1D2;OR5V1;OR2Z1;OR8S1;OR5K1;OR52B4;OR1L8;OR56B4;OR52J3;OR4F21;PRKG2;ADCY3;OR7G3;GNG13;OR2H2;OR51E1;OR13D1;OR9A4;OR52E8;OR2K2;CALML6;OR51B4;OR51E2;OR2T6;OR5AK2;OR4M1;OR5C1;OR2A1;OR1N2;OR52L1;OR2H1;OR9A2;CAMK2G;OR10H1;OR2A7;OR10H2;OR6B1;OR13F1;CNGA4;OR1K1,OR2T10;GUCY2D;OR7G2;CNGA2;OR2A25;PRKACA;OR52B6;OR1J4;CALM1;OR2F1;ANO2;OR13C5;OR51F2;OR6V1;OR2AG2;OR8B12;OR2AE1;OR51Q1;OR5B21;OR10P1;OR7A5;OR6S1;OR10AD1;PDE1C;SLC24A4;OR3A3;OR5B2;CALM2;OR2A2;OR10K2;OR2S2;OR10H5;OR1D2;OR5V1;OR2Z1;OR8S1;OR5K1;OR52B4;OR1L8;OR56B4;OR52J3;OR4F21;PRKG2;ADCY3;OR7G3;GNG13;OR2H2;OR51E1;OR13D1;OR9A4;OR52E8;OR2K2;CALML6;OR51B4;OR51E2;OR2T6;OR5AK2;OR4M1;OR5C1;OR2A1;OR1N2;OR52L1;OR2H1;OR9A2;CAMK2G;OR10H1;OR2A7;OR10H2;OR6B1;OR13F1;CNGA4;OR1K1
Amino sugar and nucleotide sugar metabolism Homo sapiens hsa00520,-0.15950010252027097,-0.5204418311708405,0.9712230215827338,1.0,48,48,CYB5R3;GMDS;HEXA;NANS;UAP1;CHIA;HK2;GNE;PMM1;RENBP;GNPDA1;TSTA3;MPI;GFPT1;PGM3;UXS1;GMPPA;HEXB;GFPT2;UGDH;PGM2;HK3;GNPNAT1;HK1;CYB5R1;GNPDA2;CMAS;PGM1;GALE;UAP1L1;NANP;GPI;CYB5R4;HKDC1;NAGK;UGP2;AMDHD2;PMM2;GALK1;GCK;CHIT1;FPGT;NPL;FUK;GMPPB;CYB5R2;CYB5RL;GALT,PMM2;GALK1;GCK;CHIT1;FPGT;NPL;FUK;GMPPB;CYB5R2;CYB5RL;GALT
Renin secretion Homo sapiens hsa04924,0.1327658270790211,0.4523316356466833,0.9779411764705882,1.0,64,64,AGTR1;EDNRA;CALML5;GNAI2;GUCY1A2;PDE3B;AGT;PPP3CC;CLCA1;CTSB;PDE3A;PPP3R2;PLCB1;GNAI1;ADCYAP1R1;ORAI1;AQP1;PDE1B;GUCY1A3;ADCYAP1;ADRB3;PLCB2;CACNA1D;NPR1;PTGER2;ADRB1;PTGER4;GNAI3;PLCB3;CREB1;PPP3R1;CALM3;PPP3CB;PDE1A;ADRB2;PPP3CA;KCNMA1;GNAS;GUCY1B3;PRKACG;GNAQ;ITPR2;PRKACB;CALML3;CACNA1C;REN;ACE;ITPR3;ADCY5;PRKACA;CALM1;CACNA1F;CLCA2;ITPR1;PDE1C;CALM2;CACNA1S;KCNJ2;PRKG2;CALML6;ADORA1;PLCB4;CLCA4;ADCY6,AGTR1;EDNRA;CALML5;GNAI2;GUCY1A2;PDE3B;AGT
Toxoplasmosis Homo sapiens hsa05145,-0.1394593832238213,-0.4419997084326469,0.9782608695652174,1.0,118,116,LY96;STAT1;JAK1;HLA-DRB5;GNAI2;HLA-DMB;HLA-DQB1;HLA-DPA1;PIK3R1;HLA-DMA;HLA-DOB;PPIF;MAPK3;TLR2;HLA-DOA;HLA-DRA;CIITA;HLA-DQA2;PIK3CA;CHUK;MAPK1;IL10RA;IL10;ITGB1;HLA-DRB1;HSPA1A;IFNG;TLR4;TAB2;IFNGR2;GNAI1;LAMC2;TNFRSF1A;HSPA8;HLA-DPB1;HSPA1B;NOS2;ALOX5;IFNGR1;TGFB1;PIK3R5;LAMB1;MYD88;RELA;XIAP;BAD;CYCS;LAMA3;HLA-DQA1;MAP2K3;MAPK14;GNAI3;PIK3CD;PIK3R2;BIRC7;AKT3;AKT1;JAK2;CCR5;ITGA6;PIK3CG;PIK3R3;GNAO1;TRAF6;HSPA6;MAPK9;HSPA1L;CASP8;LAMB2;BIRC8;NFKBIA;CASP9;LAMC1;STAT3;BCL2L1;TAB1;PIK3CB;PDPK1;MAPK8;MAP3K7;IRAK1;BCL2;IL10RB;CD40;MAPK13;MAPK10;CASP3;LAMA2;LAMB3;TGFB2;LAMC3;NFKBIB;NFKB1;MAPK11;IRAK4;MAP2K6;LDLR;CD40LG;IL12B;TNF;LAMB4;IKBKG;IRGM;TGFB3;BIRC2;LAMA4;BIRC3;LAMA1;SOCS1;AKT2;HSPA2;MAPK12;LAMA5;TYK2;IL12A;IKBKB,LDLR;CD40LG;IL12B;TNF;LAMB4;IKBKG;IRGM;TGFB3;BIRC2;LAMA4;BIRC3;LAMA1;SOCS1;AKT2;HSPA2;MAPK12;LAMA5;TYK2;IL12A;IKBKB
Transcriptional misregulation in cancer Homo sapiens hsa05202,-0.15963025269673523,-0.6078602848598931,0.9782608695652174,1.0,180,178,HOXA11;NGFR;DEFA3;FEV;HOXA10;CEBPA;RARA;NR4A3;TLX1;DDIT3;HOXA9;SIX1;PAX7;FCGR1A;ETV1;TSPAN7;PTCRA;TGFBR2;HHEX;FLI1;MDM2;PAX5;FLT3;ZBTB16;SUPT3H;PPARG;CD86;BMI1;HMGA2;IGF1;H3F3C;PROM1;IL1R2;SPI1;ETV5;H3F3A;ETV6;MYC;PML;LMO2;HIST1H3H;NUPR1;HDAC2;CDKN1B;BCL2A1;IGF1R;ZEB1;CD14;SIX4;PAX8;ERG;MMP3;RUNX2;CSF1R;DUSP6;LYL1;NTRK1;FLT1;WNT16;SPINT1;H3F3B;PBX1;IL6;RELA;GOLPH3;GRIA3;EYA1;ID2;IL2RB;PTK2;BAIAP3;MLLT3;HIST2H3C;RUNX1;CCND2;MPO;CEBPE;HIST1H3D;SSX2;ARNT2;KMT2A;UTY;PLAU;CDKN1A;SIN3A;KLF3;BMP2K;SS18;CDK14;HIST1H3F;RXRG;LDB1;GZMB;ITGAM;RUNX1T1;MET;SMAD1;BCL2L1;TLX3;MAF;JUP;CEBPB;TFE3;SP1;MEF2C;MAX;CD40;HIST1H3J;MLLT1;RXRB;NFKBIZ;PER2;MLF1;PRCC;NCOR1;TCF3;TMPRSS2;FOXO1;CXCL8;PBX3;GOLPH3L;HIST1H3A;CCNA1;BCL6;HPGD;ATF1;MYCN;HIST1H3G;ETV7;HIST1H3E;ELK4;CCR7;CCNT1;PLAT;NFKB1;JMJD1C;MMP9;REL;HIST1H3I;ETV4;TP53;ITGB7;RXRA;WT1;HIST1H3C;HIST2H3A;PDGFA;HDAC1;CSF2;MEIS1;COMMD3-BMI1;IGFBP3;EWSR1;ASPSCR1;BIRC3;AFF1;ATM;MEN1;PAX3;TAF15;ELANE;HIST2H3D;HIST1H3B;ZBTB17;SSX1;FUS;IL3;FUT8;CCNT2;SLC45A3;CDKN2C;TRAF1;WHSC1;KDM6A;HIST3H3;DDX5;DOT1L;CDK9,CCNA1;BCL6;HPGD;ATF1;MYCN;HIST1H3G;ETV7;HIST1H3E;ELK4;CCR7;CCNT1;PLAT;NFKB1;JMJD1C;MMP9;REL;HIST1H3I;ETV4;TP53;ITGB7;RXRA;WT1;HIST1H3C;HIST2H3A;PDGFA;HDAC1;CSF2;MEIS1;COMMD3-BMI1;IGFBP3;EWSR1;ASPSCR1;BIRC3;AFF1;ATM;MEN1;PAX3;TAF15;ELANE;HIST2H3D;HIST1H3B;ZBTB17;SSX1;FUS;IL3;FUT8;CCNT2;SLC45A3;CDKN2C;TRAF1;WHSC1;KDM6A;HIST3H3;DDX5;DOT1L;CDK9
Arginine biosynthesis Homo sapiens hsa00220,0.17190989845839375,0.5018562109355702,0.9787234042553191,1.0,20,20,ARG2;ASS1;CPS1;NAGS;GLUD1;NOS2;OTC;GOT2;GLUL;NOS1;GOT1;NOS3;ASL;ARG1;GPT2;GLS;GLUD2;GLS2;GPT;ACY1,ARG2;ASS1;CPS1;NAGS;GLUD1
Sphingolipid signaling pathway Homo sapiens hsa04071,-0.12072402616781862,-0.5270140038708997,0.9787234042553191,1.0,120,120,RHOA;SPHK1;ASAH1;FYN;FCER1G;GNAI2;DEGS1;SPTLC3;PIK3R1;KRAS;PTEN;ADORA3;MAPK3;RAC3;SGPL1;PPP2R3A;PIK3CA;PPP2R5A;GNA13;MAPK1;SGMS1;PLCB1;GAB2;GNAI1;PPP2R3C;TNFRSF1A;GNA12;RAC1;SPTLC1;CTSD;PIK3R5;BID;PLCB2;RAF1;RELA;PPP2R5C;SGPP2;ABCC1;PPP2R2D;PRKCB;PPP2R1A;PPP2CA;MAP3K5;MAPK14;GNAI3;MAP2K1;PIK3CD;PIK3R2;NRAS;PRKCE;PLCB3;S1PR3;AKT3;AKT1;SGPP1;CERS4;PRKCZ;RAC2;SMPD1;PRKCG;CERS6;DEGS2;PIK3CG;PPP2R5D;ASAH2;PIK3R3;TRADD;SMPD2;SPTLC2;PPP2CB;MAPK9;HRAS;MAP2K2;S1PR4;ROCK1;GNAQ;NOS3;PPP2R2C;PRKCA;PIK3CB;NSMAF;PDPK1;MAPK8;PLD1;BCL2;FCER1A;MAPK13;MAPK10;BAX;CERS3;CERS1;ACER2;PLD2;S1PR1;PPP2R5E;PPP2R3B;MS4A2;PPP2R2B;S1PR2;NFKB1;MAPK11;PPP2R5B;OPRD1;TP53;CERS2;PPP2R1B;TNF;BDKRB2;ACER1;S1PR5;SGMS2;ADORA1;PLCB4;AKT2;ROCK2;MAPK12;PPP2R2A;SPHK2;TRAF2;CERS5,PIK3CB;NSMAF;PDPK1;MAPK8;PLD1;BCL2;FCER1A;MAPK13;MAPK10;BAX;CERS3;CERS1;ACER2;PLD2;S1PR1;PPP2R5E;PPP2R3B;MS4A2;PPP2R2B;S1PR2;NFKB1;MAPK11;PPP2R5B;OPRD1;TP53;CERS2;PPP2R1B;TNF;BDKRB2;ACER1;S1PR5;SGMS2;ADORA1;PLCB4;AKT2;ROCK2;MAPK12;PPP2R2A;SPHK2;TRAF2;CERS5
Regulation of actin cytoskeleton Homo sapiens hsa04810,-0.12831940750193924,-0.5384042085703608,0.9793103448275862,1.0,214,214,BRK1;RHOA;DIAPH2;ARPC2;PPP1CB;CRKL;FGF3;ARPC4;FN1;ACTG1;ARPC3;GIT1;FGFR1;MYL10;FGF18;MOS;FGF11;PIK3R1;FGF14;ARPC5;FGF12;FGF21;INSRR;KRAS;VCL;PPP1CA;MAPK3;ITGAV;ACTN1;SCIN;CFL1;MYL9;RAC3;PFN2;PIK3CA;CHRM2;NCKAP1L;MYLK4;GNA13;FGF20;MAPK1;PAK2;CD14;ITGA5;ITGB1;WAS;PDGFD;RRAS2;RDX;FGD3;FGF19;MYLPF;ITGA9;ARPC1B;VAV1;F2;GNA12;ITGAL;ITGB2;RAC1;PDGFRA;ITGA8;CYFIP2;ARHGAP35;SSH2;FGF13;ACTB;NCKAP1;LIMK2;PFN1;PIK3R5;MYLK2;ITGA1;RAF1;ITGB5;CHRM4;PFN3;F2R;TMSB4Y;TMSB4X;GSN;PIP4K2B;MYH9;BAIAP2;ENAH;MYL2;PTK2;SOS2;CHRM1;CDC42;PAK7;TIAM1;EGFR;DIAPH1;MYL12B;MAP2K1;PIK3CD;WASF1;WASL;PIK3R2;NRAS;MYL12A;ITGA10;ARHGEF12;RRAS;CHRM3;CYFIP1;FGF23;RAC2;CRK;ITGA6;ARHGEF7;PIK3CG;PIK3R3;CFL2;ITGAD;ITGB3;ITGA11;MYLK;ACTN3;MRAS;FGF8;EGF;EZR;PPP1CC;INS;ARPC1A;HRAS;ITGA3;PDGFB;MAP2K2;ITGAM;DOCK1;ROCK1;FGF9;IQGAP1;WASF2;MYH10;BCAR1;PAK1;PAK3;SOS1;FGF22;SLC9A1;PIK3CB;GNG12;FGF6;IQGAP2;PAK6;FGF16;PIP5K1C;PIP5K1B;PDGFRB;FGD1;PXN;ABI2;FGF17;ITGA4;ARPC5L;FGF5;PFN4;MYLK3;ARAF;FGF4;FGF2;ITGB4;FGF10;ITGAX;BRAF;ITGB8;ARHGEF6;PIKFYVE;ITGB6;PIP4K2A;LIMK1;ITGA2;ITGB7;SSH1;PPP1R12B;FGFR3;CHRM5;FGF7;PAK4;FGF1;ACTN4;FGFR2;ARHGEF4;BDKRB1;PDGFA;MYL7;APC;PDGFC;BDKRB2;VAV3;MSN;PIP5K1A;ITGA7;SRC;VAV2;PPP1R12A;SSH3;PPP1R12C;MYH14;ITGAE;ARHGEF1;IQGAP3;PIP4K2C;ROCK2;ITGA2B;APC2;MYL5;ACTN2;FGFR4;DIAPH3,FGF2;ITGB4;FGF10;ITGAX;BRAF;ITGB8;ARHGEF6;PIKFYVE;ITGB6;PIP4K2A;LIMK1;ITGA2;ITGB7;SSH1;PPP1R12B;FGFR3;CHRM5;FGF7;PAK4;FGF1;ACTN4;FGFR2;ARHGEF4;BDKRB1;PDGFA;MYL7;APC;PDGFC;BDKRB2;VAV3;MSN;PIP5K1A;ITGA7;SRC;VAV2;PPP1R12A;SSH3;PPP1R12C;MYH14;ITGAE;ARHGEF1;IQGAP3;PIP4K2C;ROCK2;ITGA2B;APC2;MYL5;ACTN2;FGFR4;DIAPH3
Glycosaminoglycan biosynthesis - heparan sulfate / heparin Homo sapiens hsa00534,0.17156443928082554,0.5319132116222044,0.9797297297297297,1.0,24,24,NDST4;XYLT1;HS6ST2;EXT1;HS3ST3A1;HS2ST1;NDST1;B3GALT6;EXT2;HS3ST1;EXTL1;HS3ST2;HS6ST3;EXTL3;B4GALT7;B3GAT3;NDST3;HS6ST1;HS3ST5;EXTL2;GLCE;HS3ST3B1;NDST2;XYLT2,NDST4;XYLT1;HS6ST2;EXT1
